file_id,label,split
Celeb-DF-v2/Celeb-synthesis/id0_id16_0001.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id55_id52_0008.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id59_id60_0006.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id48_id45_0008.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id20_id29_0002.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id61_id5_0009.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id57_id52_0006.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id29_id33_0006.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id49_id52_0003.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id13_id7_0008.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id3_id1_0007.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id51_id53_0005.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id6_id9_0003.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id32_id37_0000.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id41_id42_0006.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id19_id28_0002.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id52_id58_0003.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id33_id23_0006.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id20_id0_0000.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id3_id1_0001.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id12_id7_0000.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id53_id56_0009.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id48_id47_0003.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id49_id58_0006.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id11_id7_0006.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id53_id55_0007.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id46_id41_0003.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id8_id6_0002.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id10_id12_0006.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id41_id46_0002.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id50_id49_0003.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id40_id39_0001.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id13_id7_0007.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id0_id1_0000.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id27_id22_0006.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id13_id10_0014.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id46_id45_0001.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id54_id58_0007.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id11_id7_0003.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id51_id53_0004.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id16_id9_0004.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id29_id23_0002.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id21_id24_0008.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id54_id51_0008.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id7_id13_0001.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id49_id57_0008.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id22_id20_0004.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id47_id39_0005.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id4_id20_0005.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id23_id3_0005.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id53_id54_0004.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id16_id1_0007.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id28_id29_0009.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id20_id1_0007.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id61_id60_0005.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id45_id41_0000.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id41_id47_0008.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id42_id39_0000.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id58_id52_0002.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id53_id56_0005.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id40_id48_0008.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id4_id37_0000.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id26_id37_0003.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id24_id19_0003.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id42_id40_0002.mp4,deepfake,train
Celeb-DF-v2/Celeb-synthesis/id25_id27_0008.mp4,deepfake,train
